Source,Target,Type,Weight
2,265,unweighted,1
2,15,unweighted,1
2,266,unweighted,1
2,267,unweighted,1
2,268,unweighted,1
2,270,unweighted,1
2,273,unweighted,1
2,16,unweighted,1
2,272,unweighted,1
3,2,unweighted,1
3,4,unweighted,1
3,5,unweighted,1
3,6,unweighted,1
3,8,unweighted,1
3,9,unweighted,1
3,10,unweighted,1
3,11,unweighted,1
3,12,unweighted,1
3,274,unweighted,1
3,265,unweighted,1
3,275,unweighted,1
3,15,unweighted,1
3,266,unweighted,1
3,267,unweighted,1
3,268,unweighted,1
3,271,unweighted,1
3,276,unweighted,1
3,16,unweighted,1
4,2,unweighted,1
4,3,unweighted,1
4,5,unweighted,1
4,6,unweighted,1
4,7,unweighted,1
4,8,unweighted,1
4,9,unweighted,1
4,10,unweighted,1
4,11,unweighted,1
4,12,unweighted,1
4,251,unweighted,1
4,14,unweighted,1
4,13,unweighted,1
4,274,unweighted,1
4,265,unweighted,1
4,275,unweighted,1
4,15,unweighted,1
4,266,unweighted,1
4,267,unweighted,1
4,268,unweighted,1
4,269,unweighted,1
4,270,unweighted,1
4,271,unweighted,1
4,276,unweighted,1
4,273,unweighted,1
4,16,unweighted,1
4,272,unweighted,1
5,2,unweighted,1
5,3,unweighted,1
5,4,unweighted,1
5,6,unweighted,1
5,7,unweighted,1
5,8,unweighted,1
5,9,unweighted,1
5,10,unweighted,1
5,11,unweighted,1
5,12,unweighted,1
5,251,unweighted,1
5,14,unweighted,1
5,13,unweighted,1
5,274,unweighted,1
5,265,unweighted,1
5,275,unweighted,1
5,15,unweighted,1
5,266,unweighted,1
5,267,unweighted,1
5,268,unweighted,1
5,269,unweighted,1
5,270,unweighted,1
5,271,unweighted,1
5,276,unweighted,1
5,273,unweighted,1
5,16,unweighted,1
5,272,unweighted,1
6,2,unweighted,1
6,3,unweighted,1
6,4,unweighted,1
6,5,unweighted,1
6,7,unweighted,1
6,8,unweighted,1
6,9,unweighted,1
6,10,unweighted,1
6,11,unweighted,1
6,12,unweighted,1
6,251,unweighted,1
6,14,unweighted,1
6,13,unweighted,1
6,274,unweighted,1
6,265,unweighted,1
6,275,unweighted,1
6,15,unweighted,1
6,266,unweighted,1
6,267,unweighted,1
6,268,unweighted,1
6,269,unweighted,1
6,270,unweighted,1
6,271,unweighted,1
6,276,unweighted,1
6,273,unweighted,1
6,16,unweighted,1
6,272,unweighted,1
7,2,unweighted,1
7,3,unweighted,1
7,4,unweighted,1
7,5,unweighted,1
7,6,unweighted,1
7,8,unweighted,1
7,9,unweighted,1
7,10,unweighted,1
7,11,unweighted,1
7,12,unweighted,1
7,251,unweighted,1
7,14,unweighted,1
7,13,unweighted,1
7,274,unweighted,1
7,265,unweighted,1
7,275,unweighted,1
7,15,unweighted,1
7,266,unweighted,1
7,267,unweighted,1
7,268,unweighted,1
7,269,unweighted,1
7,270,unweighted,1
7,271,unweighted,1
7,276,unweighted,1
7,273,unweighted,1
7,16,unweighted,1
7,272,unweighted,1
8,2,unweighted,1
8,3,unweighted,1
8,4,unweighted,1
8,5,unweighted,1
8,6,unweighted,1
8,7,unweighted,1
8,9,unweighted,1
8,10,unweighted,1
8,11,unweighted,1
8,12,unweighted,1
8,251,unweighted,1
8,14,unweighted,1
8,13,unweighted,1
8,274,unweighted,1
8,265,unweighted,1
8,275,unweighted,1
8,15,unweighted,1
8,266,unweighted,1
8,267,unweighted,1
8,268,unweighted,1
8,269,unweighted,1
8,270,unweighted,1
8,271,unweighted,1
8,276,unweighted,1
8,273,unweighted,1
8,16,unweighted,1
8,272,unweighted,1
9,2,unweighted,1
9,3,unweighted,1
9,4,unweighted,1
9,5,unweighted,1
9,6,unweighted,1
9,7,unweighted,1
9,8,unweighted,1
9,10,unweighted,1
9,11,unweighted,1
9,12,unweighted,1
9,251,unweighted,1
9,14,unweighted,1
9,13,unweighted,1
9,274,unweighted,1
9,265,unweighted,1
9,275,unweighted,1
9,15,unweighted,1
9,266,unweighted,1
9,267,unweighted,1
9,268,unweighted,1
9,269,unweighted,1
9,270,unweighted,1
9,271,unweighted,1
9,276,unweighted,1
9,273,unweighted,1
9,16,unweighted,1
9,272,unweighted,1
10,2,unweighted,1
10,3,unweighted,1
10,4,unweighted,1
10,5,unweighted,1
10,6,unweighted,1
10,7,unweighted,1
10,9,unweighted,1
10,8,unweighted,1
10,11,unweighted,1
10,12,unweighted,1
10,251,unweighted,1
10,14,unweighted,1
10,13,unweighted,1
10,274,unweighted,1
10,265,unweighted,1
10,275,unweighted,1
10,15,unweighted,1
10,266,unweighted,1
10,267,unweighted,1
10,268,unweighted,1
10,269,unweighted,1
10,270,unweighted,1
10,271,unweighted,1
10,276,unweighted,1
10,273,unweighted,1
10,16,unweighted,1
10,272,unweighted,1
11,2,unweighted,1
11,3,unweighted,1
11,4,unweighted,1
11,5,unweighted,1
11,6,unweighted,1
11,7,unweighted,1
11,9,unweighted,1
11,10,unweighted,1
11,8,unweighted,1
11,12,unweighted,1
11,251,unweighted,1
11,14,unweighted,1
11,13,unweighted,1
11,274,unweighted,1
11,265,unweighted,1
11,275,unweighted,1
11,15,unweighted,1
11,266,unweighted,1
11,267,unweighted,1
11,268,unweighted,1
11,269,unweighted,1
11,270,unweighted,1
11,271,unweighted,1
11,276,unweighted,1
11,273,unweighted,1
11,16,unweighted,1
11,272,unweighted,1
12,2,unweighted,1
12,3,unweighted,1
12,4,unweighted,1
12,5,unweighted,1
12,6,unweighted,1
12,7,unweighted,1
12,9,unweighted,1
12,10,unweighted,1
12,11,unweighted,1
12,8,unweighted,1
12,251,unweighted,1
12,14,unweighted,1
12,13,unweighted,1
12,274,unweighted,1
12,265,unweighted,1
12,275,unweighted,1
12,15,unweighted,1
12,266,unweighted,1
12,267,unweighted,1
12,268,unweighted,1
12,269,unweighted,1
12,270,unweighted,1
12,271,unweighted,1
12,276,unweighted,1
12,273,unweighted,1
12,16,unweighted,1
12,272,unweighted,1
13,2,unweighted,1
13,3,unweighted,1
13,4,unweighted,1
13,5,unweighted,1
13,6,unweighted,1
13,7,unweighted,1
13,9,unweighted,1
13,10,unweighted,1
13,11,unweighted,1
13,12,unweighted,1
13,251,unweighted,1
13,14,unweighted,1
13,8,unweighted,1
13,274,unweighted,1
13,265,unweighted,1
13,275,unweighted,1
13,15,unweighted,1
13,266,unweighted,1
13,267,unweighted,1
13,268,unweighted,1
13,269,unweighted,1
13,270,unweighted,1
13,271,unweighted,1
